"Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
"1975","ALG","CHL",350,NA,350,NA
"1975","ALG","VAR",650,NA,650,NA
"1975","ALG","WSH",20000,NA,20000,NA
"1975","ARE","VAR",4000,NA,4000,NA
"1975","ARG","BOL",90,NA,90,NA
"1975","ARG","CHL",14400,NA,14400,NA
"1975","ARG","URU",570,NA,570,NA
"1975","ARG","VAR",30940,NA,30940,NA
"1975","AUS","VAR",20000,NA,20000,NA
"1975","BDI","RWA",49500,NA,49500,NA
"1975","BEL","VAR",16788,NA,16788,NA
"1975","BOT","ANG",1790,NA,1790,NA
"1975","BOT","LES",190,NA,190,NA
"1975","BOT","NAM",150,NA,150,NA
"1975","BOT","RSA",190,NA,190,NA
"1975","BOT","ZIM",80,NA,80,NA
"1975","BRA","VAR",32000,NA,32000,NA
"1975","CAN","VAR",16349,NA,16349,NA
"1975","CAR","VAR",5000,NA,5000,NA
"1975","CHL","VAR",3300,NA,3300,NA
"1975","CMR","EGU",30000,NA,30000,NA
"1975","COB","ANG",5000,NA,5000,NA
"1975","COD","ANG",460000,NA,460000,NA
"1975","COD","BDI",24000,NA,24000,NA
"1975","COD","RWA",24300,NA,24300,NA
"1975","COD","VAR",950,NA,950,NA
"1975","COD","ZAM",750,NA,750,NA
"1975","DEN","VAR",2125,NA,2125,NA
"1975","ETH","SUD",11000,NA,11000,NA
"1975","ETH","VAR",150,NA,150,NA
"1975","FRA","VAR",109882,NA,109882,NA
"1975","GAB","EGU",60000,NA,60000,NA
"1975","GBR","VAR",153000,NA,153000,NA
"1975","GFR","VAR",122000,NA,122000,NA
"1975","GHA","VAR",130,NA,130,NA
"1975","GRE","GRE",510,NA,510,NA
"1975","GRE","VAR",2090,NA,2090,NA
"1975","ICO","GUI",3e+05,NA,3e+05,NA
"1975","ITA","VAR",11900,NA,11900,NA
"1975","KEN","ETH",300,NA,300,NA
"1975","KEN","MOZ",600,NA,600,NA
"1975","KEN","NAM",100,NA,100,NA
"1975","KEN","RSA",90,NA,90,NA
"1975","KEN","RWA",700,NA,700,NA
"1975","KEN","VAR",600,NA,600,NA
"1975","KEN","ZIM",60,NA,60,NA
"1975","LAO","VAR",70,NA,70,NA
"1975","LES","RSA",190,NA,190,NA
"1975","MOR","CZE",50,NA,50,NA
"1975","MOR","HUN",70,NA,70,NA
"1975","MOR","POL",60,NA,60,NA
"1975","MOR","RUS",70,NA,70,NA
"1975","MOR","SPA",140,NA,140,NA
"1975","MOR","VAR",120,NA,120,NA
"1975","MOZ","MLW",30000,NA,30000,NA
"1975","MOZ","RSA",70,NA,70,NA
"1975","MOZ","ZIM",14500,NA,14500,NA
"1975","NEP","TIB",8200,NA,8200,NA
"1975","NET","VAR",7850,NA,7850,NA
"1975","NOR","VAR",3000,NA,3000,NA
"1975","PER","CHL",600,NA,600,NA
"1975","PHI","SRV",690,NA,690,NA
"1975","POR","VAR",150,NA,150,NA
"1975","RWA","BDI",7400,NA,7400,NA
"1975","SEN","GNB",46000,NA,46000,NA
"1975","SPA","VAR",16000,NA,16000,NA
"1975","SRB","VAR",26300,NA,26300,NA
"1975","SUD","COD",4500,NA,4500,NA
"1975","SUD","ETH",91000,NA,91000,NA
"1975","SWA","VAR",50,NA,50,NA
"1975","SWE","VAR",20000,NA,20000,NA
"1975","SWI","VAR",35000,NA,35000,NA
"1975","TAN","BDI",110540,NA,110540,NA
"1975","TAN","COD",400,NA,400,NA
"1975","TAN","MLW",80,NA,80,NA
"1975","TAN","MOZ",33700,NA,33700,NA
"1975","TAN","RSA",60,NA,60,NA
"1975","TAN","RWA",23100,NA,23100,NA
"1975","TAN","UGA",2300,NA,2300,NA
"1975","TAN","VAR",900,NA,900,NA
"1975","TAN","ZIM",80,NA,80,NA
"1975","THA","CAM",18830,NA,18830,NA
"1975","THA","LAO",55510,NA,55510,NA
"1975","THA","SRV",1420,NA,1420,NA
"1975","TUR","ALB",380,NA,380,NA
"1975","TUR","BUL",300,NA,300,NA
"1975","TUR","HUN",70,NA,70,NA
"1975","TUR","ROM",70,NA,70,NA
"1975","TUR","SRB",120,NA,120,NA
"1975","TUR","VAR",120,NA,120,NA
"1975","UGA","COD",34450,NA,34450,NA
"1975","UGA","RWA",78120,NA,78120,NA
"1975","UGA","VAR",60,NA,60,NA
"1975","USA","VAR",530000,NA,530000,NA
"1975","VAR","ANG",5000,NA,5000,NA
"1975","VAR","VAR",749120,NA,749120,NA
"1975","ZAM","ANG",30040,NA,30040,NA
"1975","ZAM","COB",110,NA,110,NA
"1975","ZAM","COD",60,NA,60,NA
"1975","ZAM","ETH",110,NA,110,NA
"1975","ZAM","KEN",90,NA,90,NA
"1975","ZAM","LES",120,NA,120,NA
"1975","ZAM","MLW",270,NA,270,NA
"1975","ZAM","MOZ",450,NA,450,NA
"1975","ZAM","NAM",3720,NA,3720,NA
"1975","ZAM","RSA",760,NA,760,NA
"1975","ZAM","SOM",110,NA,110,NA
"1975","ZAM","UGA",210,NA,210,NA
"1976","ALG","CHL",650,NA,650,NA
"1976","ALG","GAZ",3200,NA,3200,NA
"1976","ALG","SPA",450,NA,450,NA
"1976","ALG","URU",110,NA,110,NA
"1976","ALG","VAR",170,NA,170,NA
"1976","ALG","WSH",35000,NA,35000,NA
"1976","ANG","COD",5000,NA,5000,NA
"1976","ANG","NAM",5000,NA,5000,NA
"1976","ARE","VAR",4000,NA,4000,NA
"1976","ARG","BOL",60,NA,60,NA
"1976","ARG","CHL",1580,NA,1580,NA
"1976","ARG","URU",1050,NA,1050,NA
"1976","ARG","VAR",38320,NA,38320,NA
"1976","AUS","VAR",25000,NA,25000,NA
"1976","BDI","RWA",49500,NA,49500,NA
"1976","BEL","VAR",17000,NA,17000,NA
"1976","BOT","ANG",120,NA,120,NA
"1976","BOT","NAM",560,NA,560,NA
"1976","BOT","RSA",780,NA,780,NA
"1976","BOT","VAR",280,NA,280,NA
"1976","BOT","ZIM",1100,NA,1100,NA
"1976","BRA","VAR",30000,NA,30000,NA
"1976","CAN","VAR",27387,NA,27387,NA
"1976","CHL","VAR",4000,NA,4000,NA
"1976","CMR","EGU",30000,NA,30000,NA
"1976","COD","ANG",471340,NA,471340,NA
"1976","COD","BDI",18220,NA,18220,NA
"1976","COD","RWA",24500,NA,24500,NA
"1976","COD","VAR",190,NA,190,NA
"1976","COD","ZAM",750,NA,750,NA
"1976","DEN","VAR",2100,NA,2100,NA
"1976","ETH","SUD",10600,NA,10600,NA
"1976","ETH","VAR",90,NA,90,NA
"1976","FRA","VAR",114634,NA,114634,NA
"1976","GAB","EGU",60000,NA,60000,NA
"1976","GBR","VAR",153000,NA,153000,NA
"1976","GFR","VAR",122000,NA,122000,NA
"1976","GHA","VAR",180,NA,180,NA
"1976","GRE","GRE",450,NA,450,NA
"1976","GRE","VAR",2110,NA,2110,NA
"1976","ICO","GUI",5e+05,NA,5e+05,NA
"1976","ICO","VAR",70,NA,70,NA
"1976","ITA","VAR",11900,NA,11900,NA
"1976","KEN","ETH",630,NA,630,NA
"1976","KEN","MOZ",130,NA,130,NA
"1976","KEN","NAM",60,NA,60,NA
"1976","KEN","RSA",50,NA,50,NA
"1976","KEN","RWA",330,NA,330,NA
"1976","KEN","SOM",50,NA,50,NA
"1976","KEN","UGA",450,NA,450,NA
"1976","KEN","VAR",800,NA,800,NA
"1976","LAO","CAM",110,NA,110,NA
"1976","LEB","VAR",7e+05,NA,7e+05,NA
"1976","LES","RSA",900,NA,900,NA
"1976","MOR","HUN",50,NA,50,NA
"1976","MOR","POL",50,NA,50,NA
"1976","MOR","RUS",60,NA,60,NA
"1976","MOR","SPA",60,NA,60,NA
"1976","MOR","VAR",140,NA,140,NA
"1976","MOZ","ZIM",30000,NA,30000,NA
"1976","NEP","TIB",8300,NA,8300,NA
"1976","NET","VAR",7900,NA,7900,NA
"1976","NIG","NAM",50,NA,50,NA
"1976","NOR","VAR",1000,NA,1000,NA
"1976","PER","CHL",440,NA,440,NA
"1976","PHI","SRV",940,NA,940,NA
"1976","RWA","BDI",7500,NA,7500,NA
"1976","SEN","GNB",37000,NA,37000,NA
"1976","SEN","VAR",1000,NA,1000,NA
"1976","SLE","VAR",170,NA,170,NA
"1976","SPA","VAR",16500,NA,16500,NA
"1976","SRB","VAR",26000,NA,26000,NA
"1976","SUD","COD",4500,NA,4500,NA
"1976","SUD","ETH",105000,NA,105000,NA
"1976","SUD","UGA",600,NA,600,NA
"1976","SWA","RSA",80,NA,80,NA
"1976","SWE","VAR",20000,NA,20000,NA
"1976","SWI","VAR",35000,NA,35000,NA
"1976","TAN","BDI",126600,NA,126600,NA
"1976","TAN","COD",340,NA,340,NA
"1976","TAN","MLW",60,NA,60,NA
"1976","TAN","RWA",23600,NA,23600,NA
"1976","TAN","UGA",2200,NA,2200,NA
"1976","TAN","VAR",1200,NA,1200,NA
"1976","THA","CAM",17090,NA,17090,NA
"1976","THA","LAO",62720,NA,62720,NA
"1976","THA","SRV",3060,NA,3060,NA
"1976","TOG","BEN",100,NA,100,NA
"1976","TUR","VAR",1060,NA,1060,NA
"1976","UAE","VAR",4000,NA,4000,NA
"1976","UGA","COD",34230,NA,34230,NA
"1976","UGA","ETH",70,NA,70,NA
"1976","UGA","RWA",78480,NA,78480,NA
"1976","UGA","TAN",90,NA,90,NA
"1976","UGA","VAR",60,NA,60,NA
"1976","USA","VAR",5e+05,NA,5e+05,NA
"1976","VAR","VAR",603300,NA,603300,NA
"1976","ZAM","ANG",27730,NA,27730,NA
"1976","ZAM","MOZ",450,NA,450,NA
"1976","ZAM","NAM",3350,NA,3350,NA
"1976","ZAM","RSA",370,NA,370,NA
"1976","ZAM","VAR",2050,NA,2050,NA
"1976","ZAM","ZIM",120,NA,120,NA
"1977","ALG","CHL",2000,NA,2000,NA
"1977","ALG","WSH",50000,NA,50000,NA
"1977","ANG","COD",225000,NA,225000,NA
"1977","ANG","NAM",10000,NA,10000,NA
"1977","ARE","ARM",440,NA,440,NA
"1977","ARE","ETH",530,NA,530,NA
"1977","ARE","RSA",70,NA,70,NA
"1977","ARE","RUS",50,NA,50,NA
"1977","ARE","TUR",70,NA,70,NA
"1977","ARE","VAR",3350,NA,3350,NA
"1977","ARG","VAR",35000,NA,35000,NA
"1977","AUS","VAR",20000,NA,20000,NA
"1977","BDI","RWA",50000,NA,50000,NA
"1977","BEL","VAR",17000,NA,17000,NA
"1977","BOT","ANG",130,NA,130,NA
"1977","BOT","LES",90,NA,90,NA
"1977","BOT","NAM",80,NA,80,NA
"1977","BOT","RSA",510,NA,510,NA
"1977","BOT","ZIM",4000,NA,4000,NA
"1977","BRA","VAR",36000,NA,36000,NA
"1977","CAN","VAR",29537,NA,29537,NA
"1977","CHL","VAR",5200,NA,5200,NA
"1977","CMR","EGU",30000,NA,30000,NA
"1977","COD","ANG",5e+05,NA,5e+05,NA
"1977","COD","BDI",11300,NA,11300,NA
"1977","COD","RWA",18000,NA,18000,NA
"1977","COD","VAR",1000,NA,1000,NA
"1977","COL","VAR",1800,NA,1800,NA
"1977","COS","VAR",3500,NA,3500,NA
"1977","CUB","VAR",2600,NA,2600,NA
"1977","CYP","CYP",700,NA,700,NA
"1977","DEN","VAR",1764,NA,1764,NA
"1977","DJB","ETH",8000,NA,8000,NA
"1977","DOM","VAR",500,NA,500,NA
"1977","ECU","VAR",200,NA,200,NA
"1977","ETH","SUD",10850,NA,10850,NA
"1977","ETH","VAR",90,NA,90,NA
"1977","FRA","VAR",119413,NA,119413,NA
"1977","GAB","EGU",90000,NA,90000,NA
"1977","GBR","VAR",148000,NA,148000,NA
"1977","GFR","VAR",120000,NA,120000,NA
"1977","GHA","NAM",50,NA,50,NA
"1977","GHA","VAR",120,NA,120,NA
"1977","GRE","GRE",410,NA,410,NA
"1977","GRE","VAR",2200,NA,2200,NA
"1977","ITA","VAR",11700,NA,11700,NA
"1977","JPN","SRV",600,NA,600,NA
"1977","KEN","ETH",820,NA,820,NA
"1977","KEN","MOZ",120,NA,120,NA
"1977","KEN","NAM",50,NA,50,NA
"1977","KEN","RSA",50,NA,50,NA
"1977","KEN","RWA",570,NA,570,NA
"1977","KEN","SOM",60,NA,60,NA
"1977","KEN","UGA",4280,NA,4280,NA
"1977","KEN","VAR",60,NA,60,NA
"1977","LAO","CAM",100,NA,100,NA
"1977","LBR","GUI",1500,NA,1500,NA
"1977","LBR","VAR",50,NA,50,NA
"1977","LEB","VAR",7e+05,NA,7e+05,NA
"1977","LES","RSA",930,NA,930,NA
"1977","LES","VAR",200,NA,200,NA
"1977","MEX","VAR",4000,NA,4000,NA
"1977","MLS","CAM",1580,NA,1580,NA
"1977","MLS","PHI",90000,NA,90000,NA
"1977","MLS","SRV",3880,NA,3880,NA
"1977","MLS","VAR",540,NA,540,NA
"1977","MOR","VAR",500,NA,500,NA
"1977","MOZ","VAR",60,NA,60,NA
"1977","MOZ","ZIM",42400,NA,42400,NA
"1977","NEP","TIB",8400,NA,8400,NA
"1977","NET","VAR",8000,NA,8000,NA
"1977","NGR","GUI",1500,NA,1500,NA
"1977","NIG","NAM",50,NA,50,NA
"1977","NIG","RSA",160,NA,160,NA
"1977","NIG","VAR",90,NA,90,NA
"1977","NOR","VAR",6000,NA,6000,NA
"1977","PAN","VAR",500,NA,500,NA
"1977","PAR","VAR",1500,NA,1500,NA
"1977","PER","VAR",1200,NA,1200,NA
"1977","PHI","SRV",1300,NA,1300,NA
"1977","POR","VAR",7500,NA,7500,NA
"1977","ROM","CHL",1000,NA,1000,NA
"1977","RWA","BDI",7500,NA,7500,NA
"1977","SEN","GNB",5000,NA,5000,NA
"1977","SLE","VAR",150,NA,150,NA
"1977","SOM","ETH",5e+05,NA,5e+05,NA
"1977","SPA","VAR",15000,NA,15000,NA
"1977","SRB","ALB",2000,NA,2000,NA
"1977","SRV","CAM",60000,NA,60000,NA
"1977","SUD","COD",4500,NA,4500,NA
"1977","SUD","ETH",145500,NA,145500,NA
"1977","SWA","RSA",135,NA,135,NA
"1977","SWE","VAR",20000,NA,20000,NA
"1977","SWI","VAR",30000,NA,30000,NA
"1977","TAN","BDI",134750,NA,134750,NA
"1977","TAN","COD",530,NA,530,NA
"1977","TAN","MLW",100,NA,100,NA
"1977","TAN","RSA",310,NA,310,NA
"1977","TAN","RWA",24370,NA,24370,NA
"1977","TAN","UGA",3630,NA,3630,NA
"1977","TAN","VAR",920,NA,920,NA
"1977","THA","CAM",15030,NA,15030,NA
"1977","THA","LAO",78970,NA,78970,NA
"1977","THA","SRV",3600,NA,3600,NA
"1977","TUR","VAR",1050,NA,1050,NA
"1977","UAE","TAN",300,NA,300,NA
"1977","UAE","UGA",90,NA,90,NA
"1977","UGA","COD",34710,NA,34710,NA
"1977","UGA","ETH",500,NA,500,NA
"1977","UGA","KEN",1200,NA,1200,NA
"1977","UGA","RSA",80,NA,80,NA
"1977","UGA","RWA",76840,NA,76840,NA
"1977","UGA","VAR",120,NA,120,NA
"1977","UGA","ZIM",120,NA,120,NA
"1977","URU","VAR",2000,NA,2000,NA
"1977","USA","VAR",684700,NA,684700,NA
"1977","VAR","SRV",5000,NA,5000,NA
"1977","VAR","VAR",118200,NA,118200,NA
"1977","VEN","VAR",16000,NA,16000,NA
"1977","YEM","VAR",50,NA,50,NA
"1977","ZAM","ANG",29700,NA,29700,NA
"1977","ZAM","COD",200,NA,200,NA
"1977","ZAM","MLW",950,NA,950,NA
"1977","ZAM","NAM",2700,NA,2700,NA
"1977","ZAM","RSA",150,NA,150,NA
"1977","ZAM","VAR",1200,NA,1200,NA
"1977","ZAM","ZIM",30000,NA,30000,NA
"1978","ALG","CHL",2000,NA,2000,NA
"1978","ALG","WSH",50000,NA,50000,NA
"1978","ANG","COD",110550,NA,110550,NA
"1978","ANG","NAM",30000,NA,30000,NA
"1978","ANG","RSA",1000,NA,1000,NA
"1978","ARE","ARM",420,NA,420,NA
"1978","ARE","ETH",600,NA,600,NA
"1978","ARE","TUR",60,NA,60,NA
"1978","ARE","VAR",3920,NA,3920,NA
"1978","ARG","VAR",26390,NA,26390,NA
"1978","AUL","VAR",304000,NA,304000,NA
"1978","AUS","VAR",20000,NA,20000,NA
"1978","BDI","COD",910,NA,910,NA
"1978","BDI","RWA",49430,NA,49430,NA
"1978","BEL","VAR",17000,NA,17000,NA
"1978","BGD","MYA",160000,NA,160000,NA
"1978","BGD","VAR",4000,NA,4000,NA
"1978","BOL","VAR",500,NA,500,NA
"1978","BOT","ANG",210,NA,210,NA
"1978","BOT","LES",160,NA,160,NA
"1978","BOT","RSA",420,NA,420,NA
"1978","BOT","VAR",450,NA,450,NA
"1978","BOT","ZIM",17760,NA,17760,NA
"1978","BRA","VAR",35000,NA,35000,NA
"1978","CAN","VAR",31295,NA,31295,NA
"1978","CHL","SRB",80,NA,80,NA
"1978","CHL","VAR",3000,NA,3000,NA
"1978","CMR","EGU",30000,NA,30000,NA
"1978","COB","ANG",150,NA,150,NA
"1978","COD","ANG",620000,NA,620000,NA
"1978","COD","BDI",11000,NA,11000,NA
"1978","COD","RWA",22000,NA,22000,NA
"1978","COL","VAR",1500,NA,1500,NA
"1978","COS","NIC",130000,NA,130000,NA
"1978","COS","VAR",3000,NA,3000,NA
"1978","CUB","NIC",4000,NA,4000,NA
"1978","DEN","VAR",1800,NA,1800,NA
"1978","DJB","ETH",20000,NA,20000,NA
"1978","DOM","HAI",300,NA,300,NA
"1978","ETH","SUD",10850,NA,10850,NA
"1978","ETH","VAR",80,NA,80,NA
"1978","FRA","VAR",126229,NA,126229,NA
"1978","GAB","BEN",200,NA,200,NA
"1978","GAB","EGU",60000,NA,60000,NA
"1978","GBR","VAR",150000,NA,150000,NA
"1978","GFR","VAR",83500,NA,83500,NA
"1978","GHA","NAM",50,NA,50,NA
"1978","GHA","VAR",20,NA,20,NA
"1978","GRE","GRE",380,NA,380,NA
"1978","GRE","VAR",2140,NA,2140,NA
"1978","HKG","SRV",55710,NA,55710,NA
"1978","HKG","VAR",7700,NA,7700,NA
"1978","HON","NIC",10000,NA,10000,NA
"1978","HON","VAR",5000,NA,5000,NA
"1978","INS","SRV",2240,NA,2240,NA
"1978","ITA","VAR",11700,NA,11700,NA
"1978","JOR","ETH",80,NA,80,NA
"1978","JPN","SRV",610,NA,610,NA
"1978","KEN","ETH",940,NA,940,NA
"1978","KEN","MOZ",130,NA,130,NA
"1978","KEN","RSA",60,NA,60,NA
"1978","KEN","RWA",580,NA,580,NA
"1978","KEN","SOM",90,NA,90,NA
"1978","KEN","UGA",4630,NA,4630,NA
"1978","KEN","VAR",70,NA,70,NA
"1978","KOR","SRV",70,NA,70,NA
"1978","LAO","CAM",120,NA,120,NA
"1978","LEB","ARE",50,NA,50,NA
"1978","LEB","IRQ",560,NA,560,NA
"1978","LEB","VAR",4390,NA,4390,NA
"1978","LES","RSA",990,NA,990,NA
"1978","MAC","VAR",850,NA,850,NA
"1978","MEX","VAR",5000,NA,5000,NA
"1978","MLS","PHI",92000,NA,92000,NA
"1978","MLS","SRV",49580,NA,49580,NA
"1978","MOR","HUN",50,NA,50,NA
"1978","MOR","POL",50,NA,50,NA
"1978","MOR","RUS",50,NA,50,NA
"1978","MOR","VAR",350,NA,350,NA
"1978","MOZ","ZIM",1e+05,NA,1e+05,NA
"1978","NEP","TIB",8500,NA,8500,NA
"1978","NET","VAR",8000,NA,8000,NA
"1978","NIG","VAR",370,NA,370,NA
"1978","NOR","VAR",6000,NA,6000,NA
"1978","NZL","VAR",10000,NA,10000,NA
"1978","PAN","DOM",50,NA,50,NA
"1978","PAN","NIC",800,NA,800,NA
"1978","PAN","VAR",200,NA,200,NA
"1978","PAR","VAR",1500,NA,1500,NA
"1978","PER","VAR",1100,NA,1100,NA
"1978","PHI","SRB",4000,NA,4000,NA
"1978","PHI","SRV",1300,NA,1300,NA
"1978","PNG","INS",1000,NA,1000,NA
"1978","POR","VAR",7500,NA,7500,NA
"1978","ROM","CHL",1000,NA,1000,NA
"1978","RWA","BDI",7600,NA,7600,NA
"1978","SEN","GNB",5000,NA,5000,NA
"1978","SIN","SRV",730,NA,730,NA
"1978","SLE","VAR",50,NA,50,NA
"1978","SOM","ETH",6e+05,NA,6e+05,NA
"1978","SPA","VAR",15000,NA,15000,NA
"1978","SRB","ALB",1610,NA,1610,NA
"1978","SRB","CHL",130,NA,130,NA
"1978","SRB","VAR",230,NA,230,NA
"1978","SRV","CAM",150000,NA,150000,NA
"1978","SUD","COD",4500,NA,4500,NA
"1978","SUD","ETH",265500,NA,265500,NA
"1978","SWA","RSA",720,NA,720,NA
"1978","SWE","VAR",20000,NA,20000,NA
"1978","SWI","VAR",30000,NA,30000,NA
"1978","SYR","VAR",170,NA,170,NA
"1978","TAN","BDI",129580,NA,129580,NA
"1978","TAN","COD",340,NA,340,NA
"1978","TAN","MLW",60,NA,60,NA
"1978","TAN","RSA",500,NA,500,NA
"1978","TAN","RWA",25100,NA,25100,NA
"1978","TAN","UGA",4100,NA,4100,NA
"1978","TAN","VAR",1200,NA,1200,NA
"1978","TAN","ZIM",80,NA,80,NA
"1978","THA","CAM",15000,NA,15000,NA
"1978","THA","LAO",119180,NA,119180,NA
"1978","THA","SRV",4770,NA,4770,NA
"1978","TUR","ALB",370,NA,370,NA
"1978","TUR","BUL",290,NA,290,NA
"1978","TUR","HUN",70,NA,70,NA
"1978","TUR","ROM",60,NA,60,NA
"1978","TUR","SRB",120,NA,120,NA
"1978","TUR","VAR",160,NA,160,NA
"1978","UAE","TAN",300,NA,300,NA
"1978","UAE","UGA",90,NA,90,NA
"1978","UGA","COD",34700,NA,34700,NA
"1978","UGA","ETH",500,NA,500,NA
"1978","UGA","KEN",80,NA,80,NA
"1978","UGA","RWA",78000,NA,78000,NA
"1978","UGA","VAR",400,NA,400,NA
"1978","URU","VAR",2000,NA,2000,NA
"1978","USA","VAR",734000,NA,734000,NA
"1978","VAR","SRV",9200,NA,9200,NA
"1978","VAR","VAR",142840,NA,142840,NA
"1978","VEN","VAR",16000,NA,16000,NA
"1978","YEM","ETH",50,NA,50,NA
"1978","YEM","YEM",15000,NA,15000,NA
"1978","ZAM","ANG",25750,NA,25750,NA
"1978","ZAM","COD",560,NA,560,NA
"1978","ZAM","MLW",250,NA,250,NA
"1978","ZAM","NAM",5710,NA,5710,NA
"1978","ZAM","RSA",150,NA,150,NA
"1978","ZAM","VAR",1400,NA,1400,NA
"1978","ZAM","ZIM",45320,NA,45320,NA
"1979","ALG","CHL",2000,NA,2000,NA
"1979","ALG","WSH",50000,NA,50000,NA
"1979","ANG","COD",30000,NA,30000,NA
"1979","ANG","NAM",35000,NA,35000,NA
"1979","ANG","RSA",1000,NA,1000,NA
"1979","ARE","ARM",400,NA,400,NA
"1979","ARE","ETH",720,NA,720,NA
"1979","ARE","TUR",60,NA,60,NA
"1979","ARE","VAR",3670,NA,3670,NA
"1979","ARG","VAR",27050,NA,27050,NA
"1979","AUL","VAR",304000,NA,304000,NA
"1979","AUS","VAR",25000,NA,25000,NA
"1979","BDI","COD",1010,NA,1010,NA
"1979","BDI","RWA",49480,NA,49480,NA
"1979","BEL","VAR",32000,NA,32000,NA
"1979","BOL","VAR",500,NA,500,NA
"1979","BOT","ANG",280,NA,280,NA
"1979","BOT","LES",160,NA,160,NA
"1979","BOT","RSA",320,NA,320,NA
"1979","BOT","ZIM",22530,NA,22530,NA
"1979","BRA","VAR",25000,NA,25000,NA
"1979","CAN","VAR",57913,NA,57913,NA
"1979","CAR","CHD",1000,NA,1000,NA
"1979","CHI","SRV",250000,NA,250000,NA
"1979","CHL","VAR",2000,NA,2000,NA
"1979","CMR","CHD",8000,NA,8000,NA
"1979","CMR","EGU",10000,NA,10000,NA
"1979","CMR","VAR",1990,NA,1990,NA
"1979","COD","ANG",626700,NA,626700,NA
"1979","COD","BDI",11000,NA,11000,NA
"1979","COD","RWA",22000,NA,22000,NA
"1979","COD","UGA",49780,NA,49780,NA
"1979","COD","ZAM",1000,NA,1000,NA
"1979","COL","VAR",2000,NA,2000,NA
"1979","COS","CUB",3560,NA,3560,NA
"1979","COS","NIC",15050,NA,15050,NA
"1979","CUB","VAR",3060,NA,3060,NA
"1979","DEN","VAR",1800,NA,1800,NA
"1979","DJB","ETH",28800,NA,28800,NA
"1979","DOM","HAI",3300,NA,3300,NA
"1979","ECU","VAR",600,NA,600,NA
"1979","ETH","SUD",10850,NA,10850,NA
"1979","ETH","VAR",80,NA,80,NA
"1979","FRA","VAR",119489,NA,119489,NA
"1979","GAB","BEN",200,NA,200,NA
"1979","GAB","EGU",30000,NA,30000,NA
"1979","GBR","VAR",146000,NA,146000,NA
"1979","GFR","VAR",87000,NA,87000,NA
"1979","GHA","NAM",80,NA,80,NA
"1979","GHA","VAR",220,NA,220,NA
"1979","GRE","GRE",360,NA,360,NA
"1979","GRE","VAR",3410,NA,3410,NA
"1979","HKG","SRV",55700,NA,55700,NA
"1979","HON","NIC",130,NA,130,NA
"1979","INS","SRV",32200,NA,32200,NA
"1979","INS","VAR",130,NA,130,NA
"1979","IRN","AFG",1e+05,NA,1e+05,NA
"1979","IRN","IRQ",30000,NA,30000,NA
"1979","IRN","TAN",100,NA,100,NA
"1979","IRQ","ERT",400,NA,400,NA
"1979","ITA","VAR",14100,NA,14100,NA
"1979","JOR","ETH",120,NA,120,NA
"1979","JPN","SRV",1260,NA,1260,NA
"1979","KEN","ETH",1170,NA,1170,NA
"1979","KEN","MOZ",120,NA,120,NA
"1979","KEN","RSA",80,NA,80,NA
"1979","KEN","RWA",730,NA,730,NA
"1979","KEN","SOM",90,NA,90,NA
"1979","KEN","UGA",3550,NA,3550,NA
"1979","KEN","VAR",70,NA,70,NA
"1979","KOR","SRV",170,NA,170,NA
"1979","KUW","ETH",5000,NA,5000,NA
"1979","LAO","CAM",110,NA,110,NA
"1979","LEB","ARM",300,NA,300,NA
"1979","LEB","ETH",1100,NA,1100,NA
"1979","LEB","IRQ",1000,NA,1000,NA
"1979","LEB","SYR",500,NA,500,NA
"1979","LES","RSA",500,NA,500,NA
"1979","LES","VAR",190,NA,190,NA
"1979","MAC","SRV",3490,NA,3490,NA
"1979","MEX","NIC",710,NA,710,NA
"1979","MEX","VAR",5060,NA,5060,NA
"1979","MLS","CAM",580,NA,580,NA
"1979","MLS","PHI",90000,NA,90000,NA
"1979","MLS","SRV",34300,NA,34300,NA
"1979","MOR","VAR",500,NA,500,NA
"1979","MOZ","ZIM",150000,NA,150000,NA
"1979","NEP","TIB",8600,NA,8600,NA
"1979","NET","VAR",10000,NA,10000,NA
"1979","NIG","RSA",110,NA,110,NA
"1979","NIG","VAR",180,NA,180,NA
"1979","NIG","ZIM",110,NA,110,NA
"1979","NOR","VAR",6000,NA,6000,NA
"1979","NZL","VAR",10000,NA,10000,NA
"1979","PAK","AFG",4e+05,NA,4e+05,NA
"1979","PAN","NIC",710,NA,710,NA
"1979","PAN","VAR",360,NA,360,NA
"1979","PAR","VAR",1200,NA,1200,NA
"1979","PER","SRV",5430,NA,5430,NA
"1979","PER","VAR",850,NA,850,NA
"1979","PHI","SRV",5300,NA,5300,NA
"1979","PNG","INS",1000,NA,1000,NA
"1979","POR","VAR",7600,NA,7600,NA
"1979","ROM","CHL",1000,NA,1000,NA
"1979","RWA","BDI",7800,NA,7800,NA
"1979","RWA","UGA",100,NA,100,NA
"1979","SAU","ETH",1e+05,NA,1e+05,NA
"1979","SEN","GNB",5000,NA,5000,NA
"1979","SIN","VAR",900,NA,900,NA
"1979","SLE","VAR",60,NA,60,NA
"1979","SOM","ETH",1175000,NA,1175000,NA
"1979","SOM","VAR",190,NA,190,NA
